en	ko	note
Accuracy	정확도	2025 AI 핵심용어
Affective Computing	감성 컴퓨팅	2025 AI 핵심용어
Agentic AI	에이전틱 AI	2025 AI 핵심용어
Agentic Misalignment	에이전틱 오정렬	2025 AI 핵심용어
AI Accelerator	AI 가속기	2025 AI 핵심용어
AI Accountability	AI 책임성	2025 AI 핵심용어
AI Agent	AI 에이전트	2025 AI 핵심용어
AI Alignment	AI 정렬	2025 AI 핵심용어
AI as a Service	서비스형 AI	2025 AI 핵심용어
AI Assistant	AI 어시스턴트	2025 AI 핵심용어
AI Basic Society	AI 기본사회	2025 AI 핵심용어
AI Bias	AI 편향	2025 AI 핵심용어
AI Chatbot	AI 챗봇	2025 AI 핵심용어
AI Data Center	AI 데이터 센터	2025 AI 핵심용어
AI Divide	AI 격차	2025 AI 핵심용어
AI Ethics	AI 윤리	2025 AI 핵심용어
AI for All	모두의 AI	2025 AI 핵심용어
AI Governance	AI 거버넌스	2025 AI 핵심용어
AI Guardrails	AI 가드레일	2025 AI 핵심용어
AI Highway	AI 고속도로	2025 AI 핵심용어
AI Human	AI 휴먼	2025 AI 핵심용어
AI Ideological Bias	AI 이념적 편향	2025 AI 핵심용어
AI Inclusiveness	AI 포용성	2025 AI 핵심용어
AI Inference	AI 추론	2025 AI 핵심용어
AI Literacy	AI 리터러시	2025 AI 핵심용어
AI Native	AI 네이티브	2025 AI 핵심용어
AI of Things	지능형 사물인터넷	2025 AI 핵심용어
AI Orchestration	AI 오케스트레이션	2025 AI 핵심용어
AI Persona	AI 페르소나	2025 AI 핵심용어
AI Reasoning	AI 추론	2025 AI 핵심용어
AI Red Teaming	AI 레드티밍	2025 AI 핵심용어
AI Safety	AI 안전	2025 AI 핵심용어
AI Semiconductor	AI 반도체	2025 AI 핵심용어
AI Sycophancy	AI 아첨	2025 AI 핵심용어
AI Transformation	AI 전환	2025 AI 핵심용어
AI Trustworthiness	AI 신뢰성	2025 AI 핵심용어
AI Watermarking	AI 워터마킹	2025 AI 핵심용어
AI-Generated Content	AI 생성 콘텐츠	2025 AI 핵심용어
AI-Radio Access Network	지능형 기지국	2025 AI 핵심용어
America's AI Action Plan	미국 AI 행동계획	2025 AI 핵심용어
Anomaly Detection	이상 탐지	2025 AI 핵심용어
Artificial General Intelligence	인공일반지능	2025 AI 핵심용어
Artificial Narrow Intelligence	인공협소지능	2025 AI 핵심용어
Artificial Superintelligence	인공초지능	2025 AI 핵심용어
Autoencoder	오토인코더	2025 AI 핵심용어
Automated Decision-Making	자동화된 의사결정	2025 AI 핵심용어
Automated Machine Learning	자동화된 머신러닝	2025 AI 핵심용어
Backpropagation	오차 역전파	2025 AI 핵심용어
Benchmark Dataset	벤치마크 데이터셋	2025 AI 핵심용어
Causal AI	인과 AI	2025 AI 핵심용어
Central Processing Unit	중앙처리장치	2025 AI 핵심용어
Chain of Thought	사고 사슬	2025 AI 핵심용어
Chemical, Biological, Radiological, Nuclear	CBRN 위험	2025 AI 핵심용어
Cloud AI	클라우드 AI	2025 AI 핵심용어
Conversational AI	대화형 AI	2025 AI 핵심용어
Convolutional Neural Network	합성곱 신경망	2025 AI 핵심용어
Curse of Dimensionality	차원의 저주	2025 AI 핵심용어
Data Flywheel	데이터 플라이휠	2025 AI 핵심용어
Data Labeling	데이터 라벨링	2025 AI 핵심용어
Data Preprocessing	데이터 전처리	2025 AI 핵심용어
Data Processing Unit	데이터 처리장치	2025 AI 핵심용어
Data Silo	데이터 사일로	2025 AI 핵심용어
Data Wrangling	데이터 랭글링	2025 AI 핵심용어
Deep Learning	딥러닝	2025 AI 핵심용어
Deepfake	딥페이크	2025 AI 핵심용어
Discriminative AI	판별형 AI	2025 AI 핵심용어
Distillation	증류	2025 AI 핵심용어
Distributed Training	분산학습	2025 AI 핵심용어
Down-sampling	다운샘플링	2025 AI 핵심용어
Dual-Use Risk	이중 용도 위험	2025 AI 핵심용어
Early Stopping	조기 종료	2025 AI 핵심용어
Edge AI	에지 AI	2025 AI 핵심용어
Eliza Effect	ELIZA 효과	2025 AI 핵심용어
Embedded AI	임베디드 AI	2025 AI 핵심용어
